Channel,Start,End,BA
4,55,61,Premotor
5,65,74,Premotor
6,60,80,Premotor
7,62,81.25,Premotor/FEF/45
8,59,75,FEF/45
9,45,64,FEF
13,55,70,Premotor
14,60,61,Premotor
15,60,61,Premotor
16,60,61,Premotor
24,54,70,Premotor
25,65,90,Premotor
26,65,77,Premotor
27,71,76,Premotor
28,62,97,FEF
29,83,105,FEF
30,64,66,46d/v
30,75,99,45
30,120,121,OFC
31,76,78,46v
31,100,110,45
31,120,122,OFC
32,70,80,46v
32,96,97,45
32,128,133,OFC
33,55,56,46d
33,65,81,46v
34,53,54,45/46v
34,60,74.25,OFC
36,70,73,Premotor
37,70,71,Premotor
38,117,118,Premotor/FEF
40,68,115,FEF/45
44,60,69,FEF
44,75,81,46d
44,85,86,46v
45,52,53,46d
45,67,76,46v
45,87,88,OFC
48,71,72,Premotor
49,60,88,Premotor
50,90,106,Premotor
52,70,75,FEF/45
58,52,73,46d/46v
58,121,130,OFC
61,67,104,Premotor
63,98,100,FEF/45
63,106,107,44
63,135,141,Striatum
64,92,110,Premotor/8Bs
65,70,84,FEF/8Bs
70,60,72,46d
70,78,90,46v
81,72,77,8Bd/8Bs
81,98,102,46d
83,52,57,8Bd/8Bs
83,62,70,46d
85,69,93,Premotor
88,78,88,Premotor
88,92,93,8Bs
88,110,116,Striatum
94,51,57,9d/46d
94,61,78,46d/46v
97,67,84,Premotor
100,73,75,Premotor/8Bs
100,80,85,8Bs
105,49,65,8Bd
110,69,81,Premotor
110,99,114,ACC
112,72,79,Premotor
112,101,112,ACC
114,63,69,8Bd
115,56,87,8Bd
115,110,115,46d
117,37,62,Premotor
125,61,84,8Bd
125,99,100,8Bm
127,64,75,Premotor
127,95,103,ACC
128,58,74,Premotor
128,82,92,ACC
129,61,83,Premotor
129,86,87,ACC
130,64,76,Premotor
132,68,83,Premotor
132,105,107,ACC
133,56,67,Premotor
134,60,68,Premotor
134,104,119,ACC
136,56,63,Premotor
137,65,67,Premotor
139,58,61,Premotor
140,56,67,Premotor
142,53,63,Premotor



