channel,depth
1,"[60.0, 60.75, 61.0]"
2,"[59.0, 62.0, 64.75, 68.0, 71.25, 77.0]"
3,"[59.5, 61.0, 61.75, 63.0]"
4,"[43.5, 45.25, 45.75, 51.0]"
5,"[57.5, 60.0, 61.75, 63.0]"
8,[55.0]
9,[64.0]
10,"[69.0, 71.0, 77.5, 80.25, 84.0]"
11,"[43.0, 45.0, 48.0, 52.0, 58.0]"
12,"[53.0, 54.0, 54.25, 55.0]"
13,"[65.5, 72.0]"
14,"[78.0, 78.25]"
15,"[52.0, 54.0]"
17,"[114.0, 118.0]"
18,"[104.0, 109.0]"
19,"[55.5, 60.5, 67.0]"
20,"[54.0, 60.0, 63.0]"
21,"[55.0, 55.25]"
22,[53.0]
23,"[63.0, 69.0, 74.0]"
24,"[64.0, 67.5]"
25,[48.0]
27,"[76.0, 77.0, 79.25]"
28,"[85.5, 89.75, 94.0]"
29,"[61.0, 70.0, 75.0]"
30,"[68.0, 69.0, 73.0, 77.0]"
31,"[59.0, 63.0]"
32,"[61.0, 77.0, 85.0]"
33,[51.0]
34,"[61.0, 65.0, 71.0]"
35,"[59.0, 64.5]"
36,"[43.5, 44.0]"
37,"[49.0, 51.5]"
38,"[57.0, 63.0]"
39,"[53.0, 68.0, 73.0, 88.0]"
40,"[55.5, 61.5, 115.25, 123.25]"
41,"[46.0, 50.0, 55.0]"
42,[50.0]
43,"[44.0, 52.0]"
44,"[56.0, 66.0, 89.0]"
45,"[68.0, 72.5]"
46,[47.0]
47,[51.0]
48,"[52.0, 54.0, 64.0]"
49,"[53.0, 63.0, 80.0]"
50,[47.0]
51,"[48.0, 53.0, 135.0, 140.75, 141.25, 143.0, 147.5, 151.5]"
52,"[44.0, 46.75, 57.0]"
53,"[43.5, 44.5, 50.5, 107.75]"
54,"[45.5, 51.5, 53.0]"
55,"[55.5, 61.5, 80.0]"
56,"[65.0, 65.25, 67.0]"
57,"[56.0, 60.5]"
58,"[46.0, 50.0]"
59,"[54.0, 58.0]"
60,[52.0]
61,"[46.5, 55.0]"
62,"[52.0, 57.5]"
63,"[56.0, 66.0]"
64,"[53.0, 61.0]"
65,"[66.0, 68.0, 74.0]"
66,[53.25]
67,[74.5]
68,[56.0]
69,[56.75]
70,"[48.75, 51.5]"
71,[54.0]
72,"[55.0, 64.0]"
73,"[53.0, 54.0, 61.0]"
74,"[56.0, 65.0]"
75,"[60.0, 61.0, 66.0]"
77,[59.0]
78,"[44.0, 47.0, 59.0]"
79,"[56.5, 59.5]"
80,"[59.0, 69.0]"
81,[53.75]
82,[48.0]
83,"[56.5, 65.0]"
84,"[58.0, 59.5]"
85,"[53.0, 54.0]"
86,"[45.0, 53.0]"
87,"[56.0, 58.0, 66.0]"
88,"[59.0, 61.0, 63.5]"
89,"[59.0, 63.0]"
90,"[47.0, 52.0]"
91,"[42.0, 44.0, 49.0]"
92,[45.0]
93,[40.0]
95,"[59.5, 70.0]"
96,"[51.0, 57.0]"
97,"[53.0, 60.5]"
98,"[47.0, 48.25, 56.0]"
99,"[43.0, 51.0]"
100,"[50.0, 52.0, 60.0]"
101,"[62.0, 70.0]"
102,"[48.0, 50.0, 58.0]"
103,"[42.0, 44.0, 51.0]"
104,"[36.5, 47.0]"
105,"[35.0, 47.0]"
106,"[81.0, 83.0, 86.0]"
107,"[46.0, 50.5]"
108,"[52.0, 56.0]"
109,"[44.0, 52.0]"
110,"[41.5, 50.0]"
111,"[43.5, 44.5, 56.0]"
112,"[44.5, 55.0]"
113,"[64.0, 66.0, 68.0]"
114,"[59.0, 61.0]"
115,"[48.0, 49.0, 58.0]"
116,"[47.0, 55.0]"
117,"[92.0, 93.0, 100.0, 101.0]"
118,"[56.0, 57.0]"
119,"[44.5, 51.0]"
120,"[45.5, 53.0]"
121,"[41.25, 44.0]"
122,"[40.0, 44.0]"
123,"[46.0, 54.5]"
124,"[51.0, 58.5]"
125,"[87.0, 89.0]"
126,"[63.0, 65.0]"
127,"[55.0, 57.0, 64.5]"
128,"[69.0, 71.0]"
